App Name,App ID,Review Title,Rating,Content
Tap 2 Distract,6447653942,Best App Ever,5,"I might be a little biased, but this could be one of the best apps out there that provides anywhere, anytime distraction. The team have worked hard to make this a reality to assist kids with needle phobias, or anybody dealing with stress or anxiety. We hope this app helps people find a some calmness and ‘me’ time when they need it the most."
Tap 2 Distract,6447653942,Therapeutic,5,"Just downloaded this app and couldn’t be happier! Wish I only had this sooner, definitely recommend to all 😊"
Tap 2 Distract,6447653942,This app has been so helpful,5,The best for blood tests and needles! Recommend!
Baby Bubbles Babble,842788895,Perfect!,5,"Thanks so much for sorting out the state of bubble apps in the App Store! This is exactly what my son wants - bubbles! Just bubbles to pop!! Excellent work, would recommend!"
BlockSite: Block Apps & Focus,1474967653,meh,2,was good until the introduced all the paid options now it’s very hard to use also you literally can just change the restrictions so easily so it doesn’t do anything to stop you from hopping on
BlockSite: Block Apps & Focus,1474967653,Difficult to navigate,1,I found the app confusing and difficult to navigate. Having upgrade windows pop up begging for payment every time I tried to do something didn’t help. I’ll delete and use an alternative
BlockSite: Block Apps & Focus,1474967653,Great application,5,Highly recommend
BlockSite: Block Apps & Focus,1474967653,Awesome,5,"Should an option for locking several apps by the organisation only, I can still again n again go back n come n unlock the app, which hinders the process should be definate."
BlockSite: Block Apps & Focus,1474967653,Useful,4,this app is useful though i wish I was able to block more sites/apps without having to upgrade
Plantie - Stay focused,1135988868,Best Study App,5,"Plantie has saved my study life, as someone with undiagnosed ADHD, I struggle to focus on studying, and find it quite hard to not grab my phone and scroll endlessly. Plantie motivates me. The second I start my timer, my phone is off limits. I love the fact that if you stop the timer you don’t get coins, it would be too easy if you did. I really hope this app gets more trees, I’m working though buying them all and I’ll feel so sad once I’ve purchased every tree.  Things I’d love to see:  - More Trees  - An option to remove ads that’s doesn’t involve getting double coins, I want the adds gone but I enjoy the coin rate as it is (makes it harder)  - To see the fruits on the tree during the study timer, not the break (I don’t use the break option, and if I do I am out of the app. I’d love to see the cute apples and oranges etc on the tree)  - Bonus to the last one, this one is a lot as it would go into the programming side of things, but it would be cool to see either the tree grow through the timer or the fruits grow. Maybe depending on how long you’ve set it for, eg, a 1 hour session (60mins) could be 6 apples on the tree, and maybe if it’s a 2 hour study, once the 1st hour goes, the apples fall and the next 6 start to grow)"
